JOBMAP_LINK_CD	JOB_DIC_VFCL_CD	JOB_DIC_VFCL_SEQNO	VFCL_JOB_NM	IND_CLCD	IND_CD_KOR_NM	GED	SVP	FD	FP	FT	STR	D1	CB	D2	CK	D3	RH	D4	TA	D5	HE	D6	VP	Factor1	Factor2	Factor3	IND1	OCC1
0232	2731	4	브랜드메이커	M713	광고업	16	1	8	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2589150939	-0.712906628	-0.369232823	71	273
0252	3124	7	광업안전감독자	B051/B061/B062		16	10	7	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2586523845	-0.372294216	-0.403803757	05	312
2224	2361	16	안전위생관리기술자	P856	기타 교육기관	16	10	7	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2586523845	-0.372294216	-0.403803757	85	236
0845	2845	1	게임음악가	J582	소프트웨어 개발 및 공급업	14	4	8	7	6	1	0	0	0	0	0	0	0	0	1	1	0	0	1.2534602115	-0.680984573	0.7035838256	58	284
0152	1413	4	담배제조관리자	C120	담배 제조업	14	15	7	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2531418038	-0.075390729	-0.516360573	12	141
0152	1413	12	의류제조관리자	C141/C142		14	15	7	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2531418038	-0.075390729	-0.516360573	14	141
0252	3124	8	담배품질관리기술자	C120	담배 제조업	16	4	7	7	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2530121986	-0.25979634	-0.225353374	12	312
0252	3124	13	생산관리기술자	C	제조업	16	4	7	7	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1.2530121986	-0.25979634	-0.225353374		312
0851	2851	8	도자공예디자이너	C232	도자기 및 기타 요업제품 제조업	16	2	8	7	7	2	0	0	0	0	1	1	0	0	0	0	4	1	1.2525147336	0.08128774	2.347004346	23	285
1425	7723	3	건축석공반장	F424	실내건축 및 건축마무리 공사업	12	15	8	5	7	4	0	0	0	0	1	1	0	0	0	0	0	0	1.2520860365	1.8771622245	0.1232316285	42	772
0223	2713	2	관세사	H529	기타 운송관련 서비스업	16	4	7	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.2503193155	-1.21888439	-0.316946729	52	271
0312	2722	6	증권투자자문가	K661	금융지원 서비스업	16	4	7	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.2503193155	-1.21888439	-0.316946729	66	272
0513	2613	1	법무사	M711	법무관련 서비스업	16	4	7	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.2503193155	-1.21888439	-0.316946729	71	261
0212	2715	4	생산관리컨설턴트	M715	회사본부, 지주회사 및 경영컨설팅 서비스업	16	10	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.2501154741	-1.07459738	-0.351883736	71	271
0212	2715	12	품질관리컨설턴트	M715	회사본부, 지주회사 및 경영컨설팅 서비스업	16	10	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.2501154741	-1.07459738	-0.351883736	71	271
0233	2734	3	소비자분석연구원	M714	시장조사 및 여론조사업	16	10	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.2501154741	-1.07459738	-0.351883736	71	273
0233	2734	4	시장조사분석가	M714	시장조사 및 여론조사업	16	10	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.2501154741	-1.07459738	-0.351883736	71	273
0233	2734	5	여론조사분석가	M714	시장조사 및 여론조사업	16	10	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.2501154741	-1.07459738	-0.351883736	71	273
1511	2353	7	공장자동화컨설턴트	M715	회사본부, 지주회사 및 경영컨설팅 서비스업	16	10	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.2501154741	-1.07459738	-0.351883736	71	235
